Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
3015,D5 over Sand river,Bridge,Bridge,7/27/2021,,Capricorn,,97.5,12.2,6,Simply supported,1/1/1970
3019,D180 over Buffel spruit,Bridge,Bridge,8/23/2021,,Waterberg,,16.7,12.4,1,Simply supported,1/1/1960
3041,D727 over Bier spruit,Bridge,Bridge,8/30/2021,,Waterberg,,49.2,9.7,3,Simply supported,1/1/1970
3048,P169/3  over river,Bridge,Bridge,8/18/2021,,Sekhukhune,,9.3,13,1,Simply supported,1/1/1970
3070,P98/2 over river,Bridge,Bridge,9/4/2021,,Vhembe,,33.55,12.1,4,Simply supported,1/1/1971
3080,D848 over river,Bridge,Bridge,7/31/2021,,Mopani,,179,12.2,6,Continuous,1/1/1972
3081,D848 over Selokwe river,Bridge,Bridge,7/31/2021,,Mopani,,109.5,12.2,4,Continuous,1/1/1972
3087,D1350 over river,Bridge,Bridge,9/5/2021,,Mopani,,16.4,12.4,1,Simply supported,1/1/1970
3092,D463 over Sand river,Bridge,Bridge,8/6/2021,,Capricorn,,34.3,12.3,2,Simply supported,1/1/1972
3094,P17/3 over river,Bridge,Bridge,1/31/2022,,Mopani,,15.8,12.3,1,Simply supported,1/1/1960
3095,P17/3 over Lions Donga river,Bridge,Bridge,1/31/2022,,Mopani,,23,12.6,2,Simply supported,1/1/1979
3119,D345 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,68.4,12.4,4,Simply supported,1/1/1973
3120,D579 over Palala river,Bridge,Bridge,8/27/2021,,Waterberg,,59.8,12.4,7,Simply supported,1/1/1973
3126,D1034 over Lindersloop,Bridge,Bridge,7/31/2021,,Mopani,,49.2,11.6,3,Simply supported,1/1/1971
3127,D19 over Bloed river,Bridge,Bridge,7/16/2021,,Capricorn,,49.9,12.28,3,Simply supported,1/1/1975
3182,P33/1 over Motse river,Bridge,Bridge,2/7/2022,,Sekhukhune,,125,12,5,Simply supported,1/1/1976
3188,D4260 over river,Bridge,Bridge,8/12/2021,,Sekhukhune,,13,12,1,Simply supported,1/1/1974
3221,D1656 over Makhutswi river,Bridge,Bridge,8/4/2021,,Mopani,,127.7,12.2,7,Simply supported,1/1/1976
3222,D1656 over Rail,Bridge,Bridge,8/4/2021,,Mopani,,27.8,13.8,2,Continuous,1/1/1976
3236,D928 over river,Bridge,Bridge,8/23/2021,,Waterberg,,16.6,12.5,2,Simply supported,1/1/1974
3252,D617 over river,Bridge,Bridge,7/22/2021,,Capricorn,,42.5,12.3,5,Simply supported,1/1/1972
3307,D1909 over Klaserie river,Bridge,Bridge,8/2/2021,,Mopani,,125,11.9,5,Simply supported,1/1/1977
3322,D972 over Melk river,Bridge,Bridge,8/26/2021,,Waterberg,,51,12.5,3,Simply supported,1/1/1979
3323,D972 over Koperspruit river,Bridge,Bridge,8/27/2021,,Waterberg,,16,12.6,1,Simply supported,1/1/1974
3357,D887 over Mogalakwena River,Bridge,Bridge,2/2/2022,,Capricorn,,116.8,10.7,7,Simply supported,1/1/1984
3363,P135/1 over river,Bridge,Bridge,8/12/2021,,Vhembe,,58.8,12.5,7,Simply supported,1/1/1977
3397,D8 over Rail,Bridge,Bridge,9/5/2021,,Mopani,,36.4,16.4,3,Simply supported,1/1/1978
3420,D192 over Brak river,Bridge,Bridge,9/10/2021,,Waterberg,,16.6,12.3,2,Simply supported,1/1/1973
3437,D1257 over river,Bridge,Bridge,8/6/2021,,Capricorn,,11.8,12,1,Simply supported,1/1/1960
3450,D1803 over Blyde river,Bridge,Bridge,8/2/2021,,Mopani,,80.3,12.3,5,Simply supported,1/1/1975
346,P20/2 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,138.8,10.7,5,Simply supported,1/1/2015
3524,P43/3 over Road,Bridge,Bridge,2/7/2022,,Mopani,,18,16,1,Simply supported,1/1/1965
3545,D241  over Kruis river,Bridge,Bridge,8/2/2021,,Sekhukhune,,16.8,12.2,1,Simply supported,1/1/1974
3613,D2672 over BrandBoontjiesriver,Bridge,Bridge,7/31/2021,,Mopani,,33.6,11.7,2,Simply supported,1/1/1970
3618,D202 over Ga-Selati river,Bridge,Bridge,8/4/2021,,Mopani,,62,12.2,4,Simply supported,1/1/1976
3630,D965 over future rail,Bridge,Bridge,9/9/2021,,Waterberg,,8.2,12.9,1,Simply supported,1/1/1973
3649,P54/1 over river,Bridge,Bridge,2/1/2022,,Capricorn,,25,12.6,3,Simply supported,1/1/1974
3661,D202 over river,Bridge,Bridge,8/4/2021,,Mopani,,32,11.8,2,Simply supported,1/1/1974
3677,D9 over Nsami river,Bridge,Bridge,1/26/2022,,Mopani,,33.6,14.2,3,Simply supported,1/1/1978
3679,D9 over Shingwedzi river,Bridge,Bridge,1/26/2022,,Vhembe,,22.8,13.8,2,Simply supported,1/1/1976
3710,D2657 over Sand river,Bridge,Bridge,7/27/2021,,Capricorn,,90.1,10.59,5,Simply supported,1/1/1982
3743,D1942 Over River,Bridge,Bridge,8/11/2021,,Vhembe,,74.2,12.5,3,Simply supported,1/1/1975
3773,D1235 over Rhenoster spruit,Bridge,Bridge,8/31/2021,,Waterberg,,25.8,12.6,3,Simply supported,1/1/1976
3832,D1509 over river,Bridge,Bridge,8/31/2021,,Mopani,,10.8,11,1,Simply supported,1/1/1980
3841,D617 over river,Bridge,Bridge,7/27/2021,,Capricorn,,9.2,10.3,1,Frame,1/1/1984
3846,P98/2 over river,Bridge,Bridge,8/14/2021,,Vhembe,,11.6,15.8,1,Simply supported,1/1/1977
3895,D887 over river,Bridge,Bridge,2/2/2022,,Capricorn,,35.1,13,2,Simply supported,1/1/1977
3896,P43/3 over Road,Bridge,Bridge,2/7/2022,,Mopani,,24,16,1,Simply supported,1/1/1965
3899,D2534 over Elands river,Bridge,Bridge,8/19/2021,,Capricorn,,86,12.75,4,Continuous,1/1/1985
